text_akhir,label
real bertukar bermakna ketemu anak papua lovable budaya keren unik teman teman mahasiswa indonesia sada mengasih banyak pelaran hidup makasihh,POSITIVE
demii allah sedih banget allah,NEUTRAL
sedih banget,NEUTRAL
sedih banget iku pmm berharap banget ikutt,NEUTRAL
berharap pmm,NEUTRAL
pmm sebagus,NEUTRAL
pmm daerah timur indonesia cantik banget,NEUTRAL
pmm ditunggu,NEUTRAL
bangga pmm,NEUTRAL
banget banget pmm program kampus merdeka bawa jakarta,NEUTRAL
torgu adnya pmm ngobatin gue nggerasain belajar kamus impian masuk,NEUTRAL
mbkm,NEUTRAL
yahhhhhh berharap banget jaman cari pmm semester mencoba entar disemester dihapi,NEUTRAL
mencoba,NEUTRAL
untung pmm,NEUTRAL
sekolah pgnbngtt pmm dihapussliesss kmbaliin program,NEUTRAL
bersyukur pmm,NEUTRAL
pmm gue torgeguin…,NEUTRAL
terimakasih nadim program program seindah pmm terkenang seumur hidup,NEUTRAL
maba panya plan pmm cari,NEUTRAL
malang,NEUTRAL
,NEUTRAL
terima kasih tuhan kesempatan unkuti program kampus merdeka,NEUTRAL
rela ambil kampus swasta berdamai kuliah ptn jalur pmm hapus,NEUTRAL
sedih banget yaampun menunggu kemarin,NEUTRAL
pengen pmm uny,NEGATIVE
saking serunya pmm gue nguin kampus pmm seseru,NEUTRAL
berharap kuliah jawa,NEUTRAL
logo ulm,NEUTRAL
,NEUTRAL
sedehh,NEUTRAL
terimakasih nadiem kasih kesempatan,NEUTRAL
maknanya hilangpun makna kenanganya dihati,NEUTRAL
terimakasih nadiem terimakasih pmm,NEUTRAL
ngincer bgtttttt,NEUTRAL
pengen banget pmm kuliah kedokteran,NEUTRAL
yaaaah gtuuu,NEUTRAL
pmm keliling jawa terima kasih nadiem,NEUTRAL
alhamdulillah merasa mahasiswa pmm angkatan percobaan respon bagus dilanjutkan sebagus ituuuuu,NEUTRAL
alhamdulillah merasa pmm,NEUTRAL
ganti presiden ngaruhnya berasa program banget harapkan hilanhlg,NEUTRAL
sedih banget gue menunggu pmm,NEUTRAL
alhamdulillah bangga alumni pmm sayang banget program sebagus lanjutkan,NEUTRAL
banyak nanyaaaaaa hapus menangis banget,NEUTRAL
nyiapin hapus cuman kesempatan kuliah universitas impian,NEGATIVE
sedih banget,NEUTRAL
alhamdulillah merasakan pmm jogja,NEUTRAL
angkatan,NEUTRAL
kesini ksanaa,NEUTRAL
dahla punah harapan jawa,NEUTRAL
terima kasih shalat hidupku berharga,NEUTRAL
tinggal kenangan beruntung banget kemarin angkatan,NEUTRAL
kurikulum merdeka merdeka mahasiswa selebihanya tksma kagak,NEUTRAL
terimakasih pmm terimakasih brawijaya,NEUTRAL
menyesal kemarin berani lada zona nyaman program benaran hapus bangga salah alumninya,NEUTRAL
bertukar bermakna,NEUTRAL
penonton kecewa berat,NEUTRAL
banget bersyukur merasa pmm gamonn parah,NEUTRAL
pmm angkatan kerja,NEUTRAL
pupus harapan pmm menunggu sems,NEUTRAL
banget banget angkatan pmm,NEUTRAL
ngincer,NEUTRAL
alhamdulillah pmm masyaallah papua terpikirkan program terlepas dihps semoga program ambil kesempatan,NEUTRAL
pmm gamon niiii,NEUTRAL
alumni pmm,NEUTRAL
alumni pmm ngumpul,NEUTRAL
sedih,NEGATIVE
ampun ikutt,NEUTRAL
sedih banget,NEUTRAL
belajar pengen bali,NEUTRAL
setaju kebanyak kamus gua pmm ajang buang jalan ” katan mahasiswanya malas masuk buang ” angsgaran,NEUTRAL
astaga padiahal pmm bandung,NEUTRAL
daftar gua,NEUTRAL
kampus menganjar ragi,NEUTRAL
serius nih,NEUTRAL
,NEUTRAL
seriuss hapus,NEUTRAL
nilai eror kmpus perukaran mahasiswa,NEUTRAL
gaperna studycampus berharap pmm pmm hapus sedih gaperna merasa langsung belajar kampus top belajar banyak budaya disan,POSITIVE
msib,NEUTRAL
bergabung hapus,NEUTRAL
merasa pmm merasa pengen banget ub shalat kampus impian hapus habis kampus impian,NEGATIVE
program terimakasi unkul berhasil masuk kampus impian,NEUTRAL
menunggu,NEUTRAL
pengen jawa,NEUTRAL
labuanbajo pmm,NEUTRAL
alumni pmm batch hadir,NEUTRAL
bangga pmm angkatan,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
terima,NEUTRAL
alumni alhamdulillah pmm,NEUTRAL
ngincar semester pmm hapus,NEUTRAL
hah serius hapus,NEUTRAL
program sebagus hapus,NEUTRAL
penerima pmm hadir,NEUTRAL
gue siapin persyaratan pmm hapus daftar,NEUTRAL
terimakasih pmm uib,NEUTRAL
gamon universitas gamon wlp universitas banyak mitranya mimpi ik apa-apa,NEUTRAL
akun msib dibuba,NEUTRAL
rencana,NEUTRAL
hilang harapanku,NEUTRAL
progam nih hapus,NEUTRAL
gua alumni pmm angkatan gagal seleksi angkatan gua senang gua nyerah mencoba ngerubah parat gua krakster manusia belajar banyk baryk manusia belajar banyk baryk,NEUTRAL
programnya bagus banget gbakal lupa pmm angktn online teman online,NEUTRAL
sedih banget memilih kuliah shalat satunya program,POSITIVE
njirrrrrr,NEUTRAL
live sebutkan torggu tanggal main saya hapus,POSITIVE
mengadakan pmm,NEUTRAL
alasan hapus,NEUTRAL
hah sumpah,NEUTRAL
allah bisaaaa gua kemarin angkatan niii,NEUTRAL
izin orang tua pmmwoiilaa ngerasaiinyaa,NEUTRAL
program ikutan mengharap,NEUTRAL
sedeh banget,NEUTRAL
lupa download sertifikat login web kampus merdeka,NEUTRAL
angkatan pmm,NEUTRAL
program semoga pls merasa kuliah pulau jawa,NEUTRAL
kayee,NEUTRAL
,NEUTRAL
,NEUTRAL
smeainun,NEUTRAL
,NEUTRAL
niaaa maacii unkum kenangnyaa,NEUTRAL
beruntung,NEUTRAL
⋆࣭ ๋,NEUTRAL
weehhh sedehhh,NEUTRAL
ädd,NEUTRAL
selamat merasakan ♡ ⋆˙ ᵕ̈,NEUTRAL
diapus,NEUTRAL
sedeh,NEUTRAL
୨୧ franschina dll,NEUTRAL
untung pmm,NEUTRAL
kasihan dik adik bertukar bermakna seruuuuu bgtbgtbgttt kali,NEUTRAL
pidun loli,NEUTRAL
hah benaran anjirttlah,NEUTRAL
beruntung banget kesempatan ir dinda tryyayuu bycoo,NEUTRAL
menangis banget,NEUTRAL
✮ sedih banget dhps,NEUTRAL
hah wirr gbsa pmm,NEUTRAL
ㅤ gabriel hapus,NEUTRAL
sakit hati gue,NEUTRAL
rencana smtr,NEUTRAL
beruntung rasakan,NEUTRAL
keren banget,NEUTRAL
cantik jaehyun ☆ huu kawan snda riki trng,POSITIVE
trnyta angktn trkhir,NEUTRAL
akt pmm bersyukur nggerasain,NEUTRAL
,NEUTRAL
pmm panya teman provinsi pulau pmm bermakna seru,NEUTRAL
bermakna bersyukur banget kenal ketumu,NEUTRAL
peluk jauhuntuk momen kenangan bermakna,NEUTRAL
semoga bertemu,NEUTRAL
amin yaallah ayuu kangen poll,NEUTRAL
,NEUTRAL
beener bersyukurr banget dikasi kesempatan,NEUTRAL
sedeh,NEUTRAL
kau put,NEUTRAL
iya dimana,NEUTRAL
wkwkkw gamon,NEUTRAL
kenanganyaa hati,NEUTRAL
beruntung banget pmm sedih banget,NEUTRAL
sedehhh kanegnnn,NEUTRAL
,NEUTRAL
,NEUTRAL
huhuuu,NEUTRAL
alhamdulillah alumni,NEUTRAL
,NEUTRAL
setidatnya merasakan nya cik,NEUTRAL
jakarta,NEUTRAL
senang cerita hidup,NEUTRAL
,NEUTRAL
pmm semengesujan,NEUTRAL
bentar nanges,NEUTRAL
sedih,NEUTRAL
bangga banget program kampus merdeka tinggal kenangan,NEUTRAL
bertukar bermakna nyata,POSITIVE
angkatan merasakan pmm,NEUTRAL
gmw kkn,NEUTRAL
hahaha,POSITIVE
hmm niat banget ikmm,NEUTRAL
sedeh banget pls,NEUTRAL
huhuhuu,NEUTRAL
info telat qq,NEUTRAL
,NEUTRAL
gagal kating gua,NEUTRAL
alhamdulillah,NEUTRAL
jelasss,NEUTRAL
iyo weee,NEUTRAL
kit hearttt,NEUTRAL
berysukurrr,NEUTRAL
sedeh kali,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
batch polimdooo,NEUTRAL
aaaaa mencintaimu gaiss,NEUTRAL
gamon nih,NEUTRAL
gue duga,NEUTRAL
ambil kelas karyawan,NEUTRAL
gamonn parah program wajibnya jalan jalan,NEUTRAL
,NEUTRAL
awww hmm,POSITIVE
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEGATIVE
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
maaf jogja lihat hapus,NEUTRAL
,NEUTRAL
,NEUTRAL
terima kasih angkatan,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
salsa nn pmm,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
goreng opet untung ikutt,NEUTRAL
,NEUTRAL
,NEUTRAL
,NEUTRAL
merasa pmm mandiri program berkat airlangsa terimakasih,NEUTRAL
kemarin kampus mengajar angkatan,NEUTRAL
pmm akt wkw,NEUTRAL
bersyukur pmm senang ketemu nur teman,NEUTRAL
hah anjirlo,NEUTRAL
anak torgal,NEUTRAL
tanggapanyaa kack,NEUTRAL
,NEUTRAL
sumpah sakit hati banget,NEUTRAL
,NEUTRAL
terimakasih pmm,NEUTRAL
alumni pmm kangen banget suasana teman pmm sumut,NEUTRAL
pmm biar ngobatin sakit hati diizinangan rantau kamus negeri domisili kayaknya tuhan kasih izinnya,NEUTRAL
rindu banget pmm batch uci coba,NEUTRAL
bersyukur merasakan pmm angkatan,NEUTRAL
ekspek angkatan,NEUTRAL
butter ngincer jaga semester pmm hapus,NEUTRAL
yaudah buga orang kerjaanana jalan main doang ngabisin duit,POSITIVE
dijanjiin pmm biar ketumu,NEUTRAL
tluka lihatya program bagus banget program pesawat gratis mahasiswa semena kampus tujuan,NEUTRAL
iya ampun sedih banget merasa kayak beruntung diwaktu dihapuskan,NEGATIVE
adil,NEUTRAL
cinta mati samaku,NEUTRAL
,NEUTRAL
,NEUTRAL
ampun sednya,NEUTRAL
angkatan,NEUTRAL
pengen banget merasa pmm kuliah,NEGATIVE
hah sumpah alumni pmm gamon,NEUTRAL
menyesak banget,NEUTRAL
alhamdulillah pmm,NEUTRAL
,NEUTRAL
,NEUTRAL
lulus pmm unisma berangkat kabar sedih,NEUTRAL
ńash ୨ৎ allah sedih kemarin,NEUTRAL
dhlah harapan,NEUTRAL
senang program salam akmm batch,NEUTRAL
,NEUTRAL
alumni salam angkatan,NEUTRAL
angkatan tengkyu nadiem,NEUTRAL
alhamdulillah pmm batch,NEUTRAL
program hilal kah infonya penghapatan,NEGATIVE
katananya kampus berdampak,NEUTRAL
mencoba,NEUTRAL
adek adek tingkat semangat pengen ikut persiapan persyaratan benaran,NEUTRAL
alhamdulillah allah izikans rasakan kampus mengajar pmm,NEUTRAL
,NEUTRAL
program sebagus hapus,NEUTRAL
udaaa ngincer jaman,NEUTRAL
doa anak pmm angkatan perama full online terkabul,POSITIVE
gue ngincerr lamaaa,NEUTRAL
berharap pmm,NEUTRAL
ngincer,NEUTRAL
,NEUTRAL
program duh bagus,NEGATIVE
,NEUTRAL
sediii banget mabaa,NEUTRAL
benerannb hapusss plissss pengen merasa jutaaa akhhhhhh,NEUTRAL
yaallah sedi banget ngrsain pmm brhrp pmm unpad,NEUTRAL
menangis banget merasa pmm,NEGATIVE
sedyhhh banget pengen banget merasa pmm,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
berharap selekssii hapus,NEUTRAL
ngincer,NEUTRAL
sedih pengen banget pertukaran pelajar,NEGATIVE
ptn gagak jok ub,NEUTRAL
hah…,NEUTRAL
indak rasakan kuliah bandung,NEGATIVE
pondahal pengen,NEUTRAL
angkatan,NEUTRAL
pengen pmm tolong hapus,NEUTRAL
alumni alumni alhamdulillah pmm,NEUTRAL
udaaa berharap banget padahalllll,NEUTRAL
sumpah berharap semiga pmm,NEUTRAL
nabung,NEUTRAL
indah sunrise gunung bromo pmm,NEUTRAL
sedyeh pmm hapus beryukur mena program,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
pingiin,NEUTRAL
allah iisma,NEUTRAL
ipk,NEUTRAL
syedih,NEUTRAL
suka,NEUTRAL
jirlo harapan pmm menaksir program,NEUTRAL
,NEUTRAL
pdah inimi torggu,NEUTRAL
,NEUTRAL
,NEUTRAL
pmm unisma,NEUTRAL
alumni pmm suaraya,NEUTRAL
yaallah padiahal perencanaan banget daftar,NEUTRAL
program jni menunggu jni,NEUTRAL
sieh,NEUTRAL
batch kampus online,NEUTRAL
ikutt,NEUTRAL
angkatan,NEUTRAL
bersyukur bromo kawah ijen pengalaman berharga pmm,NEUTRAL
pmm unsri kemarin gmon banget cra movennya movingon bersyukur banget ang trkahir pmm orang tanggerain,NEUTRAL
,NEUTRAL
sedeh banget kemarin ngejar pmm,NEUTRAL
,NEUTRAL
ngincar semester pmm hapus,NEUTRAL
labuan bajo pmm,POSITIVE
untung kemarin nggerasain pmm,NEUTRAL
,NEUTRAL
woiii joinnn plislahhh,NEUTRAL
sumpahhh,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
,NEUTRAL
,NEUTRAL
musnah hrpan ub,NEUTRAL
kit hati,NEUTRAL
,NEUTRAL
torgguu torggu tunggutunggu nangisbanget,NEUTRAL
bilang apa-apa kuliah jawa pmm jawa,NEUTRAL
ngincar semester pmm hapus,NEUTRAL
lihat raja ampatttt karenaaa pmm,NEUTRAL
saci menangis banget,NEUTRAL
anjirrrrr ngisss banget,NEUTRAL
nerapin pmm,NEUTRAL
coba pmm,NEUTRAL
woilahhh sedieh pmm seseru sayang banget apuss,NEUTRAL
nggarep banget buka cuman mimpi,NEUTRAL
pengen banget pmm,NEUTRAL
hapus pengen pmm,NEUTRAL
rncnnya coba,NEUTRAL
padiahal pengen,NEUTRAL
alhamdulillah hidup dibali bulanterimakasih pmm,NEUTRAL
pengen ikutt,NEUTRAL
,NEUTRAL
merasa,NEUTRAL
riset,NEUTRAL
sedih mencoba program keren,NEUTRAL
suedih banget brhrp pengalaman,NEUTRAL
cuman ganti nama,NEUTRAL
pmm angkatan uji coba sit set gedubak gedubukkk,NEUTRAL
anak ” pmm nih,NEUTRAL
ngayall isi yogyakarta,NEUTRAL
msib,NEUTRAL
dampak efesiensht kah,NEUTRAL
ngincar semester pmm hapus,NEUTRAL
cita cita masuk kulia,NEUTRAL
info menunggu pmm batch info hapus,NEUTRAL
,NEUTRAL
seriusss,NEUTRAL
goodbyee pmm pengen banget pmm masuk kuliah,NEUTRAL
dariian kema kampus mengadakan mandiri kokk dananya kena efesiensi soale ikutan mandiri kampus mengadakan program pmm,NEUTRAL
gamon pmm,NEUTRAL
pmm unh medan,NEUTRAL
iya terkenang,NEUTRAL
iya,NEUTRAL
pasrah,NEUTRAL
setidatnya merasakan,NEUTRAL
lolos diapus,NEUTRAL
✮⋆˙ tutupmi,NEUTRAL
yahhhhh,NEUTRAL
rencana pmm terkendala semester,NEUTRAL
salam pmm unisba,NEUTRAL
salam pmm itenas bandung,NEUTRAL
ndd mentong program nya kebatan magang kreativitas mahasiswa karya ilmiah dll,NEUTRAL
